,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
406,Bull Durham,1988,1988,U,108 min,"Comedy,Romance,Sport",7.0,"55,782",$50.89M,73,Director:Ron Shelton,"Stars:Kevin Costner, Susan Sarandon, Tim Robbins, Trey Wilson"
407,In Good Company,2004,2004,PG-13,110 min,"Comedy,Drama,Romance",6.5,"55,611",$45.81M,66,Director:Paul Weitz,"Stars:Dennis Quaid, Topher Grace, Scarlett Johansson, Marg Helgenberger"
408,Heartbreakers,2001,2001,PG-13,123 min,"Comedy,Crime,Romance",6.2,"55,493",$40.34M,47,Director:David Mirkin,"Stars:Sigourney Weaver, Jennifer Love Hewitt, Gene Hackman, Ray Liotta"
409,Buffalo '66,1998,1998,R,110 min,"Comedy,Drama,Romance",7.4,"55,480",$2.38M,68,Director:Vincent Gallo,"Stars:Vincent Gallo, Christina Ricci, Ben Gazzara, Mickey Rourke"
410,Love Hard,2021,2021,13,104 min,"Comedy,Romance",6.3,"55,232",,42,Director:Hernán Jiménez,"Stars:Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito"
411,Teen Wolf,1985,1985,U,91 min,"Comedy,Fantasy,Romance",6.1,"55,215",$33.09M,25,Director:Rod Daniel,"Stars:Michael J. Fox, James Hampton, Susan Ursitti, Jerry Levine"
412,Casanova,2005,2005,R,112 min,"Adventure,Comedy,Drama",6.5,"55,006",$11.29M,57,Director:Lasse Hallström,"Stars:Heath Ledger, Sienna Miller, Jeremy Irons, Oliver Platt"
413,Eureka,2006,2012,,60 min,"Adventure,Comedy,Drama",7.9,"54,790",,,,"Stars:Colin Ferguson, Salli Richardson-Whitfield, Erica Cerra, Neil Grayston"
414,I Feel Pretty,2018,2018,UA,110 min,"Comedy,Romance",5.6,"54,753",$48.80M,48,"Directors:Abby Kohn, Marc Silverstein","Stars:Amy Schumer, Michelle Williams, Emily Ratajkowski, Tom Hopper"
415,"Crna macka, beli macor",1998,1998,R,127 min,"Comedy,Crime,Romance",8.0,"54,567",$0.35M,73,Director:Emir Kusturica,"Stars:Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini"
416,Dave,1993,1993,UA,110 min,"Comedy,Romance",6.9,"54,529",$63.27M,76,Director:Ivan Reitman,"Stars:Kevin Kline, Sigourney Weaver, Frank Langella, Kevin Dunn"
417,Odd Thomas,2013,2013,,100 min,"Comedy,Fantasy,Horror",6.8,"54,343",,45,Director:Stephen Sommers,"Stars:Anton Yelchin, Ashley Sommers, Leonor Varela, Matthew Page"
418,The War of the Roses,1989,1989,UA,116 min,"Comedy,Romance",6.8,"54,265",$86.89M,79,Director:Danny DeVito,"Stars:Michael Douglas, Kathleen Turner, Danny DeVito, Marianne Sägebrecht"
419,Jab We Met,2007,2007,U,138 min,"Comedy,Drama,Romance",7.9,"54,144",$0.41M,,Director:Imtiaz Ali,"Stars:Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa"
420,Man Up,2015,2015,R,88 min,"Comedy,Drama,Romance",6.8,"54,111",,69,Director:Ben Palmer,"Stars:Lake Bell, Rory Kinnear, Ken Stott, Harriet Walter"
421,Under the Tuscan Sun,2003,2003,PG-13,113 min,"Comedy,Drama,Romance",6.7,"54,073",$43.61M,52,Director:Audrey Wells,"Stars:Diane Lane, Raoul Bova, Sandra Oh, Lindsay Duncan"
422,Away We Go,2009,2009,R,98 min,"Adventure,Comedy,Drama",7.0,"54,032",$9.45M,58,Director:Sam Mendes,"Stars:John Krasinski, Maya Rudolph, Allison Janney, Carmen Ejogo"
423,Hart of Dixie,2011,2015,,60 min,"Comedy,Drama,Romance",7.7,"53,911",,,,"Stars:Rachel Bilson, Jaime King, Cress Williams, Wilson Bethel"
424,Take Me Home Tonight,2011,2011,R,114 min,"Comedy,Drama,Romance",6.3,"53,844",$6.92M,42,Director:Michael Dowse,"Stars:Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer"
425,Andaz Apna Apna,1994,1994,U,160 min,"Action,Comedy,Romance",8.0,"53,797",,,Director:Rajkumar Santoshi,"Stars:Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor"
426,Alfie,2004,2004,R,103 min,"Comedy,Drama,Romance",6.2,"53,484",$13.40M,49,Director:Charles Shyer,"Stars:Jude Law, Sienna Miller, Susan Sarandon, Renée Taylor"
427,The Wedding Date,2005,2005,UA,90 min,"Comedy,Romance",6.1,"53,457",$31.73M,32,Director:Clare Kilner,"Stars:Dermot Mulroney, Debra Messing, Jack Davenport, Amy Adams"
428,Kuch Kuch Hota Hai,1998,1998,U,177 min,"Comedy,Drama,Musical",7.5,"53,412",$2.10M,,Director:Karan Johar,"Stars:Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed"
429,The Love Guru,2008,2008,UA,87 min,"Comedy,Romance,Sport",3.8,"53,298",$32.24M,24,Director:Marco Schnabel,"Stars:Mike Myers, Jessica Alba, Romany Malco, Jessica Simpson"
430,The Pink Panther,1963,1963,,115 min,"Comedy,Crime,Romance",7.0,"53,285",$10.88M,55,Director:Blake Edwards,"Stars:David Niven, Peter Sellers, Robert Wagner, Capucine"
431,Fucking Åmål,1998,1998,,89 min,"Comedy,Drama,Romance",7.5,"53,139",$0.17M,73,Director:Lukas Moodysson,"Stars:Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson, Mathias Rust"
432,You Again,2010,2010,U,105 min,"Comedy,Romance",5.7,"52,699",$25.70M,28,Director:Andy Fickman,"Stars:Kristen Bell, Odette Annable, Sigourney Weaver, Jamie Lee Curtis"
433,Tammy,2014,2014,R,97 min,"Comedy,Romance",4.9,"52,563",$84.53M,39,Director:Ben Falcone,"Stars:Melissa McCarthy, Susan Sarandon, Kathy Bates, Allison Janney"
434,The Purple Rose of Cairo,1985,1985,U,82 min,"Comedy,Fantasy,Romance",7.7,"52,419",$10.63M,75,Director:Woody Allen,"Stars:Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman"
435,Keeping the Faith,2000,2000,U,128 min,"Comedy,Drama,Romance",6.4,"52,284",$37.05M,60,Director:Edward Norton,"Stars:Ben Stiller, Edward Norton, Jenna Elfman, Anne Bancroft"
436,Arthur,2011,2011,UA,110 min,"Comedy,Romance",5.7,"52,225",$33.04M,36,Director:Jason Winer,"Stars:Russell Brand, Helen Mirren, Jennifer Garner, Greta Gerwig"
437,The Rules of Attraction,2002,2002,Not Rated,110 min,"Comedy,Drama,Romance",6.6,"52,037",$6.53M,50,Director:Roger Avary,"Stars:James Van Der Beek, Ian Somerhalder, Shannyn Sossamon, Jessica Biel"
438,How Do You Know,2010,2010,PG-13,121 min,"Comedy,Drama,Romance",5.4,"51,914",$30.21M,46,Director:James L. Brooks,"Stars:Reese Witherspoon, Paul Rudd, Owen Wilson, Jack Nicholson"
439,Don Juan DeMarco,1994,1994,PG-13,97 min,"Comedy,Drama,Romance",6.7,"51,653",$22.15M,63,Director:Jeremy Leven,"Stars:Johnny Depp, Marlon Brando, Faye Dunaway, Géraldine Pailhas"
440,Nutty Professor II: The Klumps,2000,2000,PG-13,106 min,"Comedy,Romance,Sci-Fi",4.4,"51,651",$123.31M,38,Director:Peter Segal,"Stars:Eddie Murphy, Janet Jackson, Larry Miller, John Ales"
441,The Little Rascals,1994,1994,U,82 min,"Comedy,Family,Romance",6.3,"51,586",$51.76M,45,Director:Penelope Spheeris,"Stars:Travis Tedford, Bug Hall, Brittany Ashton Holmes, Kevin Jamal Woods"
442,Can't Hardly Wait,1998,1998,U,100 min,"Comedy,Romance",6.5,"51,343",$25.34M,52,"Directors:Harry Elfont, Deborah Kaplan","Stars:Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose"
443,The Brothers Bloom,2008,2008,PG-13,114 min,"Action,Adventure,Comedy",6.7,"51,287",$3.52M,55,Director:Rian Johnson,"Stars:Rachel Weisz, Adrien Brody, Mark Ruffalo, Rinko Kikuchi"
444,Tin Cup,1996,1996,UA,135 min,"Comedy,Drama,Romance",6.4,"51,239",$53.85M,60,Director:Ron Shelton,"Stars:Kevin Costner, Rene Russo, Don Johnson, Cheech Marin"
445,Sherlock Jr.,1924,1924,,45 min,"Action,Comedy,Romance",8.2,"51,219",$0.98M,,Director:Buster Keaton,"Stars:Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly"
446,Duplicity,2009,2009,PG-13,125 min,"Comedy,Crime,Romance",6.1,"51,066",$40.57M,69,Director:Tony Gilroy,"Stars:Julia Roberts, Clive Owen, Tom Wilkinson, Paul Giamatti"
447,French Kiss,1995,1995,U,111 min,"Comedy,Drama,Romance",6.6,"50,970",$38.90M,50,Director:Lawrence Kasdan,"Stars:Meg Ryan, Kevin Kline, Timothy Hutton, Jean Reno"
448,Reality Bites,1994,1994,U,99 min,"Comedy,Drama,Romance",6.6,"50,946",$20.98M,67,Director:Ben Stiller,"Stars:Winona Ryder, Ethan Hawke, Janeane Garofalo, Steve Zahn"
449,Footloose,2011,2011,U,113 min,"Comedy,Drama,Music",5.8,"50,822",$51.80M,58,Director:Craig Brewer,"Stars:Kenny Wormald, Julianne Hough, Dennis Quaid, Andie MacDowell"
450,The Back-up Plan,2010,2010,PG-13,104 min,"Comedy,Romance",5.3,"50,714",$37.49M,34,Director:Alan Poul,"Stars:Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen"
451,Grumpy Old Men,1993,1993,UA,103 min,"Comedy,Drama,Romance",7.0,"50,588",$70.17M,53,Director:Donald Petrie,"Stars:Jack Lemmon, Walter Matthau, Ann-Margret, Burgess Meredith"
452,When We First Met,2018,2018,16,97 min,"Comedy,Fantasy,Romance",6.4,"50,438",,36,Director:Ari Sandel,"Stars:Adam Devine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor"
453,The Big Wedding,2013,2013,R,90 min,"Comedy,Drama,Romance",5.6,"50,418",$21.78M,28,Director:Justin Zackham,"Stars:Robert De Niro, Diane Keaton, Katherine Heigl, Amanda Seyfried"
454,Gigli,2003,2003,U,121 min,"Comedy,Crime,Romance",2.6,"49,362",$6.07M,18,Director:Martin Brest,"Stars:Ben Affleck, Jennifer Lopez, Justin Bartha, Terry Camilleri"
455,Rab Ne Bana Di Jodi,2008,2008,U,167 min,"Comedy,Drama,Music",7.2,"49,354",$2.07M,,Director:Aditya Chopra,"Stars:Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina"
456,Much Ado About Nothing,1993,1993,U,111 min,"Comedy,Drama,Romance",7.3,"49,226",$22.55M,80,Director:Kenneth Branagh,"Stars:Kenneth Branagh, Emma Thompson, Keanu Reeves, Kate Beckinsale"
457,Sydney White,2007,2007,U,108 min,"Comedy,Drama,Romance",6.2,"49,220",$11.89M,45,Director:Joe Nussbaum,"Stars:Amanda Bynes, Sara Paxton, Matt Long, Jack Carpenter"
458,The Rebound,2009,2009,UA 13+,95 min,"Comedy,Romance",6.3,"48,996",,,Director:Bart Freundlich,"Stars:Catherine Zeta-Jones, Justin Bartha, Andrew Cherry, Kelly Gould"
459,Extract,2009,2009,R,92 min,"Comedy,Crime,Romance",6.1,"48,880",$10.81M,61,Director:Mike Judge,"Stars:Jason Bateman, Kristen Wiig, Ben Affleck, Mila Kunis"
460,Yeopgijeogin geunyeo,2001,2001,,137 min,"Comedy,Drama,Romance",8.0,"48,766",,,Director:Jae-young Kwak,"Stars:Tae-Hyun Cha, Jun Ji-hyun, In-mun Kim, Song Wok-suk"
461,Herbie Fully Loaded,2005,2005,U,101 min,"Adventure,Comedy,Family",4.9,"48,719",$66.02M,47,Director:Angela Robinson,"Stars:Lindsay Lohan, Michael Keaton, Cheryl Hines, Breckin Meyer"
462,Employee of the Month,2006,2006,PG-13,103 min,"Comedy,Romance",5.5,"48,559",$28.44M,36,Director:Greg Coolidge,"Stars:Jessica Simpson, Dane Cook, Dax Shepard, Andy Dick"
463,Think Like a Man,2012,2012,PG-13,123 min,"Comedy,Romance",6.5,"48,273",$91.55M,51,Director:Tim Story,"Stars:Chris Brown, Gabrielle Union, Kevin Hart, Michael Ealy"
464,Howard the Duck,1986,1986,U,110 min,"Action,Adventure,Comedy",4.7,"48,096",$16.30M,28,Director:Willard Huyck,"Stars:Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale"
465,Shall We Dance?,2004,2004,PG-13,106 min,"Comedy,Drama,Music",6.2,"47,762",$57.89M,47,Director:Peter Chelsom,"Stars:Richard Gere, Jennifer Lopez, Susan Sarandon, Stanley Tucci"
466,Lage Raho Munna Bhai,2006,2006,U,144 min,"Comedy,Drama,Romance",8.0,"47,678",$2.22M,,Director:Rajkumar Hirani,"Stars:Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani"
467,Bachelorette,2012,2012,R,87 min,"Comedy,Romance",5.3,"47,612",$0.45M,53,Director:Leslye Headland,"Stars:Kirsten Dunst, Isla Fisher, Lizzy Caplan, James Marsden"
468,Look Who's Talking Too,1990,1990,U,81 min,"Comedy,Family,Romance",4.6,"47,371",$47.49M,,Director:Amy Heckerling,"Stars:John Travolta, Kirstie Alley, Olympia Dukakis, Elias Koteas"
